Timestamp,Gender?,Age?,What kind of experience do you have with robots?,What kind of experience do you have with drones (as the one shown above)?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?
4/8/2017 17:13:25,Male,24,"Lego Mindstorm, and some misc toys",Tried flying one for a short while. I watch a lot of drone racing (FPV). ,It nodded at me as it flew by,That it recognizes my position,10,Looked kinda cute,"I guess ""wiggle"" would be the best word here.. ",Again clearly regocnizing my position - felt weird though (And not as clear as the previous one). Almost as if it made fun of me.,6,,It simply looked at me as it flew by ,Again indicating that it was looking atleast looking at me,8,,Same as the first one? It nodded at me,"""Hello""",10,
4/8/2017 19:29:06,Female,31,None,Own a cheap one,Fly across the floor towards the camera,Nothing,1,,"Flew across the floor, this time orienting itself to the camera","Could be autonomous, could be operator.",10,,"Same as the first two, but a longer 'look' at the camera",Same thing as the second video,10,,"Same as third, but the dip was almost like a forced nod.",No more than the second and third video,10,
4/8/2017 21:23:09,Female,22,Some robot building/programming in middle school,Never used them but interested in them,"Fly, kind of nod",Asking the person to move aside,8,,Fly and wiggle,Saying hi,9,,"Fly, look around",Making sure there is no obstacle or incoming danger,3,,"Fly, kind of nod",Aknowledging presence,7,
4/9/2017 19:05:17,Male,29,Not much,Owning one,Passed by the camera,That it was headed somewhere outside the camera,3,,Passed by bu when it got close to the camera it looked at it and did a little wiggle.,That it saw the camera,9,,During the pass it looked at the camera for a second and then turned towards its target again.,That it saw the camera,7,,While passing it looked at the camera and did a little nod.,That is saw the camera.,8,
4/18/2017 12:27:16,Female,26,Not first hand,None,It acknowledged the presence of a person,It's friendly,10,"It is very noisy, which might create a defense mechanism in some people",Greeted the person,The drone recognizes friendly presence,10,,It is showing interest,Recognizes potential collaboration,10,,It showed warning,It assessed potential threat,10,
4/18/2017 13:16:07,Male,30,"Industrial robots, Drones, DIY robots",Building one,Nodded at me,It has recognized my presence and needed to get a better view of me.,10,,Tilted,The drone was programmed to do this gesture when it recognized my presence,10,,Swerved from side to side for a moment.,It has recognized something and needs a better look/angle,6,"It's obvious to me that the drone did recognize me, but was simply programmed to act like this, but the gesture itself indicated a vague acknowledgement of my presence.","Nodded at me, much like the first video.",That it has recognized my presence and make me aware of it.,10,
4/18/2017 14:44:05,Female,37,industrial,heard about them,"flying to the right of me, while surveying its surroundings","It has visual sense and saw me, but perceived me as being somewhat insignificant to its other task (flying).",7,,"The same as the first, but slower.",It gave my presence more attention,8,,"the same as the two others, but it seemed to notice something to my left that caught its attention rather than me. After checking this out, it flew on, seemingly reassured.","The drone didn't notice me the same, and seemed to percieve me as safe and not important.",4,,"started flying as the rest, but then seemed to be very caught up with my presence.",It felt I was suspicious.,10,
4/18/2017 14:59:04,Male,29,none,none,Flying across a gallery room. At some point it wiggles,It didnt indicate much. i did however notice as it leaves the frames it is very close to the camera.,2,,"Slower as before it flies across the room. It notices you at some point and looks in your direction, before it turns to its original path",Im guessing it notices some object that it focusses on briefly,5,,Same as before. but speeds up after looking in your direction,I am not sure. it didnt seem to do much more compared to the video before,4,,This time the drone looks at you and dips down almost as a submissive dog behavior.,Much more submissive and very aware of you.,7,
4/18/2017 15:27:38,Male,27,Industrial Robots.,Steen them.,Flew by,That it needs to go somewhere. Seemed to be in transit.,3,,"Flew by, but turned towards me and ""nodded"".","That the drone Saw me and Said hello, it was a nice drone.",8,,Flew by and turned towards me.,"It Saw me, but it seemed that it warned me that it was flying by.",6,,Flew by and nodded at me.,"That it Saw me, but it seemed a bit thretening.",7,
4/19/2017 22:35:50,Male,36,Just quadcopters.,"I've bought 6-10 of them. Had a few, gave a few away. Modified some, don't fly them anymore. ","Hovered, yaw twitched. ",Nothing really. ,0,Parrot products suck?,"Yawed to the right, rolled right then left then continued hovering. ","Who knows, the operator was trying to make it wave to me? ",0,,"Yawed to the right and then back again, continued to hover.",I don't understand what you are getting at. All I see is a Parrot copter flying and the operator making corrections. ,0,,Pitched forward.,Nothing,0,
